Time (s),Pressure (hPa)
0,1010.844421
0.047729492,1010.844421
0.081329346,1010.854431
0.114868164,1010.834412
0.148426329,1010.844421
0.182026183,1010.834412
0.215565001,1010.834412
0.249164855,1010.824463
0.282734191,1010.824463
0.316273009,1010.814453
0.349811827,1010.814453
0.383411681,1010.804443
0.416981017,1010.804443
0.450550353,1010.814453
0.484119689,1010.824463
0.517719542,1010.824463
0.55125836,1010.834412
0.584888732,1010.814453
0.61842755,1010.814453
0.651996886,1010.814453
0.685535704,1010.814453
0.71910504,1010.814453
0.752704894,1010.824463
0.786243712,1010.824463
0.819843566,1010.824463
0.853443419,1010.834412
0.887043273,1010.824463
0.920551573,1010.824463
0.954120909,1010.824463
0.987720763,1010.824463
1.021381651,1010.824463
1.054889952,1010.834412
1.088398253,1010.834412
1.121967589,1010.834412
1.155506407,1010.844421
1.189136778,1010.844421
1.222645079,1010.834412
1.256214415,1010.844421
1.289814269,1010.844421
1.323353087,1010.834412
1.356983458,1010.844421
1.390552794,1010.834412
1.42412213,1010.834412
1.457691466,1010.824463
1.491199767,1010.824463
1.52479962,1010.814453
1.558368956,1010.814453
1.59196881,1010.814453
1.625507628,1010.824463
1.659076964,1010.834412
1.692676818,1010.834412
1.726246153,1010.834412
1.759784972,1010.834412
1.793354308,1010.844421
1.827015196,1010.834412
1.860523497,1010.834412
1.894062316,1010.844421
1.927601134,1010.824463
1.961139952,1010.814453
1.994770323,1010.814453
2.028339659,1010.814453
2.061878478,1010.804443
2.095447814,1010.814453
2.129047667,1010.804443
2.162617003,1010.814453
2.196216857,1010.794434
2.229786193,1010.804443
2.263355528,1010.814453
2.297016417,1010.814453
2.330433165,1010.814453
2.364033019,1010.814453
2.397602355,1010.814453
2.431232726,1010.814453
2.464771544,1010.814453
2.49834088,1010.814453
2.531910216,1010.814453
2.565540587,1010.804443
2.59901837,1010.814453
2.632587706,1010.814453
2.666157042,1010.824463
2.699756896,1010.824463
2.733326232,1010.814453
2.766926085,1010.814453
2.800464903,1010.814453
2.834308898,1010.814453
2.867573058,1010.804443
2.901142394,1010.814453
2.934742247,1010.814453
2.968311583,1010.814453
3.001880919,1010.824463
3.035450255,1010.824463
3.069019591,1010.824463
3.103138243,1010.844421
3.136127745,1010.834412
3.169697081,1010.834412
3.2032359,1010.834412
3.236835753,1010.834412
3.270405089,1010.834412
3.303974425,1010.834412
3.337482726,1010.834412
3.371631896,1010.824463
3.404621398,1010.824463
3.438190734,1010.824463
3.471790587,1010.824463
3.505359923,1010.824463
3.538929259,1010.834412
3.572498595,1010.834412
3.606067931,1010.834412
3.639606749,1010.834412
3.673206603,1010.834412
3.706775939,1010.844421
3.740314757,1010.844421
3.773884093,1010.834412
3.807483946,1010.834412
3.841053282,1010.844421
3.874622618,1010.844421
3.908222472,1010.844421
3.94176129,1010.844421
3.975330626,1010.844421
4.008899962,1010.834412
4.04243878,1010.834412
4.076008116,1010.834412
4.109577452,1010.834412
4.143146788,1010.834412
4.176716124,1010.834412
4.21028546,1010.834412
4.243854796,1010.834412
4.277424132,1010.834412
4.310993468,1010.834412
4.344562804,1010.824463
4.378162657,1010.824463
4.411731993,1010.834412
4.445270812,1010.834412
4.478840148,1010.824463
4.512409484,1010.834412
4.546009337,1010.824463
4.579548155,1010.824463
4.613117491,1010.824463
4.646686827,1010.824463
4.680256163,1010.824463
4.713856017,1010.834412
4.747394835,1010.824463
4.780964171,1010.814453
4.814533507,1010.804443
4.848102843,1010.814453
4.881702696,1010.814453
4.915241515,1010.804443
4.948841368,1010.814453
4.982380187,1010.804443
5.015949523,1010.804443
5.049518859,1010.804443
5.083088194,1010.804443
5.11665753,1010.804443
5.150226866,1010.814453
5.183796202,1010.814453
5.217365538,1010.824463
5.250965392,1010.824463
5.28450421,1010.824463
5.318073546,1010.824463
5.351642882,1010.814453
5.385242735,1010.814453
5.418812071,1010.804443
5.452381407,1010.804443
5.485950743,1010.804443
5.519581114,1010.804443
5.553058898,1010.804443
5.586628234,1010.814453
5.620228087,1010.804443
5.653797423,1010.814453
5.687366759,1010.814453
5.720936095,1010.814453
5.754535948,1010.824463
5.788074767,1010.814453
5.821644103,1010.814453
5.855182921,1010.814453
5.888782775,1010.824463
5.922321593,1010.824463
5.955890929,1010.824463
5.989460265,1010.824463
6.023029601,1010.824463
6.056598937,1010.824463
6.09032086,1010.824463
6.123798644,1010.824463
6.157306944,1010.824463
6.19087628,1010.824463
6.224445616,1010.824463
6.258014952,1010.824463
6.291614806,1010.844421
6.325184142,1010.844421
6.359058653,1010.824463
6.392292296,1010.834412
6.425861632,1010.834412
6.459461485,1010.834412
6.493030821,1010.834412
6.526630675,1010.834412
6.560169493,1010.834412
6.593738829,1010.834412
6.627826964,1010.834412
6.660877501,1010.824463
6.694446837,1010.824463
6.728016173,1010.824463
6.761585509,1010.824463
6.79521588,1010.824463
6.828724181,1010.824463
6.862293517,1010.824463
6.89589337,1010.824463
6.929432189,1010.814453
6.963001525,1010.824463
6.99657086,1010.824463
7.030140196,1010.804443
7.063709532,1010.834412
7.097309386,1010.804443
7.130848204,1010.804443
7.164478575,1010.804443
7.198017394,1010.804443
7.231525694,1010.804443
7.26509503,1010.804443
7.298694884,1010.804443
7.332233702,1010.804443
7.365803038,1010.804443
7.399372374,1010.794434
7.43294171,1010.794434
7.466511046,1010.794434
7.5001109,1010.794434
7.533710753,1010.804443
7.567249571,1010.814453
7.600879943,1010.804443
7.634388243,1010.804443
7.667957579,1010.804443
7.701526915,1010.824463
7.735096251,1010.814453
7.768665587,1010.824463
7.802265441,1010.814453
7.835804259,1010.814453
7.869373595,1010.814453
7.902942931,1010.814453
7.936512267,1010.814453
7.970081603,1010.814453
8.003650939,1010.804443
8.037220275,1010.804443
8.070759093,1010.804443
8.104328429,1010.804443
8.137897765,1010.804443
8.171467101,1010.794434
8.205036437,1010.804443
8.23863629,1010.814453
8.272175109,1010.794434
8.305774962,1010.794434
8.33931378,1010.794434
8.372883116,1010.804443
8.406452452,1010.804443
8.440021788,1010.804443
8.473621642,1010.814453
8.50716046,1010.794434
8.540729796,1010.804443
8.574299132,1010.804443
8.607868468,1010.804443
8.641437804,1010.804443
8.675037657,1010.804443
8.708576476,1010.814453
8.742176329,1010.814453
8.775715148,1010.804443
8.809284484,1010.814453
8.842853819,1010.824463
8.876423155,1010.824463
8.909992491,1010.824463
8.943592345,1010.824463
8.977161681,1010.824463
9.010761534,1010.824463
9.044300353,1010.834412
9.078052794,1010.834412
9.111439025,1010.834412
9.14500836,1010.824463
9.178608214,1010.814453
9.21217755,1010.814453
9.245716368,1010.824463
9.279285704,1010.824463
9.31285504,1010.824463
9.346790587,1010.824463
9.38002423,1010.824463
9.413563048,1010.824463
9.447101866,1010.834412
9.48070172,1010.824463
9.514271056,1010.824463
9.547809874,1010.824463
9.58137921,1010.824463
9.615467345,1010.814453
9.648517882,1010.804443
9.682087218,1010.824463
9.715656554,1010.824463
9.74922589,1010.814453
9.782825743,1010.804443
9.816364562,1010.814453
9.849964415,1010.804443
9.883533751,1010.814453
9.917072569,1010.824463
9.950672423,1010.824463
9.984241759,1010.824463
10.0178111,1010.824463
10.05138043,1010.834412
10.08498028,1010.824463
10.11852842,1010.824463
10.15209776,1010.824463
10.18566709,1010.824463
10.21923643,1010.824463
10.25280577,1010.824463
10.2863751,1010.834412
10.31991392,1010.834412
10.35348326,1010.834412
10.38705259,1010.844421
10.42062193,1010.834412
10.45419126,1010.834412
10.48779112,1010.834412
10.52136045,1010.834412
10.55492979,1010.834412
10.58846861,1010.834412
10.62203794,1010.834412
10.65560728,1010.824463
10.68917662,1010.814453
10.72274595,1010.824463
10.75631529,1010.824463
10.78988462,1010.824463
10.82351499,1010.824463
10.85705381,1010.824463
10.89062315,1010.814453
10.92419248,1010.824463
10.95776182,1010.824463
10.99133116,1010.824463
11.02490049,1010.824463
11.05846983,1010.824463
11.09203916,1010.824463
11.1256085,1010.824463
11.15923887,1010.834412
11.19274717,1010.824463
11.22631651,1010.834412
11.25988584,1010.834412
11.29345518,1010.834412
11.32702452,1010.834412
11.36059385,1010.834412
11.39416319,1010.834412
11.42776304,1010.824463
11.46130186,1010.814453
11.4948712,1010.814453
11.52844053,1010.804443
11.56200987,1010.804443
11.59567076,1010.814453
11.62917906,1010.834412
11.66271788,1010.844421
11.69628721,1010.834412
11.72985655,1010.834412
11.76342588,1010.834412
11.79699522,1010.834412
11.83056455,1010.824463
11.86413389,1010.834412
11.89770323,1010.824463
11.93127256,1010.824463
11.9648419,1010.824463
11.99841123,1010.814453
12.03198057,1010.814453
12.06551939,1010.824463
12.09911924,1010.814453
12.1327191,1010.814453
12.16625791,1010.814453
12.19988829,1010.814453
12.23339659,1010.814453
12.26696592,1010.804443
12.30053526,1010.814453
12.33416563,1010.814453
12.36767393,1010.814453
12.40124327,1010.814453
12.4348126,1010.824463
12.46838194,1010.834412
12.50195127,1010.824463
12.53555113,1010.834412
12.56908995,1010.834412
12.60281187,1010.844421
12.6361981,1010.824463
12.66973692,1010.814453
12.70333677,1010.814453
12.73690611,1010.824463
12.77050596,1010.834412
12.80404478,1010.834412
12.83761412,1010.824463
12.8716107,1010.824463
12.90484434,1010.824463
